vio,year,incarc_rate,pb1064,pw1064,pm1029,pop,avginc,density,stateid,shall
414.4,77,83,8.384873,55.12291,18.17441,3.780403,9.563148,0.0745524,1,0
419.1,78,94,8.352101,55.14367,17.99408,3.831838,9.932,0.0755667,1,0
413.3,79,144,8.329575,55.13586,17.83934,3.866248,9.877028,0.0762453,1,0
448.5,80,141,8.408386,54.91259,17.7342,3.900368,9.541428,0.0768288,1,0
470.5,81,149,8.483435,54.92513,17.67372,3.918531,9.548351,0.0771866,1,0
447.7,82,183,8.514,54.89621,17.51052,3.925229,9.478919,0.0773185,1,0
416,83,215,8.545608,54.83936,17.35089,3.934103,9.783,0.0774933,1,0
431.2,84,243,8.559511,54.77876,17.11902,3.951826,10.3572,0.0778424,1,0
457.5,85,256,8.562801,54.67899,16.85875,3.97252,10.72586,0.07825,1,0
558,86,267,8.566521,54.51791,16.57609,3.991562,11.09162,0.0786251,1,0
559.2,87,283,8.592103,54.3877,16.2823,4.015257,11.32382,0.0790919,1,0
558.6,88,307,8.618144,54.23505,15.9927,4.023848,11.65496,0.0792611,1,0
590.8,89,300,8.638031,54.06622,15.67523,4.030224,11.9639,0.0793867,1,0
708.6,90,328,8.699674,56.07016,15.3807,4.048508,12.06398,0.0797736,1,0
844.2,91,370,8.771641,55.97353,15.18314,4.091025,12.08782,0.0806113,1,0
871.7,92,394,8.877969,55.80952,15.02558,4.139269,12.39802,0.081562,1,0
780.4,93,407,8.972758,55.66076,14.86296,4.193114,12.3958,0.0826229,1,0
683.7,94,431,9.047583,55.50783,14.67744,4.232965,12.67392,0.0834082,1,0
632.4,95,450,9.094921,55.33187,14.54549,4.262731,12.87268,0.0839947,1,0
565.4,96,471,9.14942,55.3142,14.41802,4.290403,12.90891,0.08454,1,0
564.5,97,492,9.206091,55.15972,14.30733,4.320281,13.12111,0.0851287,1,0
512.1,98,500,9.257586,55.25745,14.16984,4.351037,13.5141,0.0857347,1,0
490.2,99,519,9.331416,55.29781,14.0052,4.369862,13.73726,0.0861057,1,0
443.2,77,63,7.835672,62.1413,22.35269,0.403437,20.29683,0.0007083,2,0
441.9,78,75,7.945618,62.65009,22.05606,0.404764,19.04499,0.0007106,2,0
491.1,79,127,8.057296,63.09599,21.97401,0.402753,18.11589,0.0007071,2,0
436,80,133,8.123558,62.7206,21.55065,0.405315,17.90166,0.00071,2,0
615.8,81,143,8.153878,62.80371,21.01661,0.418488,18.07523,0.0007331,2,0
623.7,82,170,8.149489,62.89593,20.32379,0.449611,18.96713,0.0007876,2,0
613.8,83,194,8.114173,62.86964,19.54211,0.488417,19.045,0.0008556,2,0
621.6,84,219,8.094755,62.41428,18.85155,0.513703,18.59022,0.0008999,2,0
581.8,85,252,8.05383,61.88262,18.22919,0.532492,18.7052,0.0009328,2,0
570.4,86,288,8.0824,61.2697,17.81123,0.544269,17.90639,0.0009535,2,0
455.4,87,306,8.185459,60.43927,17.49717,0.53931,16.95592,0.0009448,2,0
522.8,88,339,8.39216,60.09351,17.20629,0.541982,16.74064,0.0009495,2,0
497.7,89,355,8.556108,59.82404,17.13378,0.547153,17.28538,0.0009585,2,0
524.5,90,361,8.630677,60.08334,16.99975,0.55312,17.31188,0.0009697,2,0
613.9,91,348,8.526665,60.35909,16.56165,0.569273,17.00598,0.0009981,2,0
660.5,92,345,8.534543,60.75548,16.34584,0.587073,16.97823,0.0010293,2,0
760.8,93,327,8.630754,60.76018,16.19282,0.596993,17.06791,0.0010467,2,0
766.3,94,446,8.593396,60.87202,15.97539,0.600624,16.97002,0.001053,2,0
770.9,95,317,8.624999,61.20048,15.75818,0.601345,16.87189,0.0010543,2,1
